Word,Engine Output,Lexicon Answer,Final Output,Match,Notes
আজ কী বার?,a - j - | - k - i - | - b - a - r,a - j - | - k - i - | - b - a - r,a - j - | - k - i - | - b - a - r,✅,
তোমার প্রিয় খাবার কী?,t - O - m - a - r - | - pr - i - y - | - kh - a - b - a - r - | - k - i,t - O - m - a - r - | - pr - i - y - O - | - kh - a - b - a - r - | - k - i,t - O - m - a - r - | - pr - i - y - O - | - kh - a - b - a - r - | - k - i,❌,
তুমি কবে ঢাকা যাবে?,t - u - m - i - | - k - O - b - e - | - Dh - a - k - a - | - j - a - b - e,t - u - m - i - | - k - o - b - e - | - Dh - a - k - a - | - j - a - b - e,t - u - m - i - | - k - o - b - e - | - Dh - a - k - a - | - j - a - b - e,❌,
এই রাস্তাটা কোথায় যায়?,e - i - | - r - a - st - a - T - a - | - k - O - th - a - y - | - j - a - y,e - i - | - r - a - st - a - T - a - | - k - O - th - a - y - | - j - a - y,e - i - | - r - a - st - a - T - a - | - k - O - th - a - y - | - j - a - y,✅,
তুমি কি বাংলা বুঝতে পার?,t - u - m - i - | - k - i - | - b - a - ng - l - a - | - b - u - jh - t - e - | - p - a - r,t - u - m - i - | - k - i - | - b - a - ng - l - a - | - b - u - jh - t - e - | - p - a - r - O,t - u - m - i - | - k - i - | - b - a - ng - l - a - | - b - u - jh - t - e - | - p - a - r - O,❌,
আমরা কখন বের হব?,a - m - r - a - | - k - o - kh - O - n - | - b - e - r - | - h - o - b,a - m - r - a - | - k - o - kh - O - n - | - b - e - r - | - h - o - b - O,a - m - r - a - | - k - o - kh - O - n - | - b - e - r - | - h - o - b - O,❌,
তোমার বাসা কোথায়?,t - O - m - a - r - | - b - a - sh - a - | - k - O - th - a - y,t - O - m - a - r - | - b - a - sh - a - | - k - O - th - a - y,t - O - m - a - r - | - b - a - sh - a - | - k - O - th - a - y,✅,
আজকে আবহাওয়া খুব সুন্দর।,a - j - k - e - | - a - b - h - a - O - y - a - | - kh - u - b - | - sh - u - nd - o - r,a - j - k - e - | - a - b - o - h - a - O - y - a - | - kh - u - b - | - sh - u - nd - O - r,a - j - k - e - | - a - b - o - h - a - O - y - a - | - kh - u - b - | - sh - u - nd - O - r,❌,
"বৃষ্টি হচ্ছে, ছাতা নিয়ে যাও।",b - ri - shT - i - | - h - O - ch - chh - e - | - chh - a - t - a - | - n - i - y - e - | - j - a - O,b - ri - shT - i - | - h - O - ch - chh - e - | - chh - a - t - a - | - n - i - y - e - | - j - a - O,b - ri - shT - i - | - h - O - ch - chh - e - | - chh - a - t - a - | - n - i - y - e - | - j - a - O,✅,
আজ খুব গরম পড়েছে।,a - j - | - kh - u - b - | - g - o - r - O - m - | - p - O - r - e - chh - e,a - j - | - kh - u - b - | - g - o - r - O - m - | - p - O - r - e - chh - e,a - j - | - kh - u - b - | - g - o - r - O - m - | - p - O - r - e - chh - e,✅,
শীতকালে খুব ঠান্ডা লাগে।,sh - i - t - k - a - l - e - | - kh - u - b - | - Th - a - n - D - a - | - l - a - g - e,sh - i - t - k - a - l - e - | - kh - u - b - | - Th - a - n - D - a - | - l - a - g - e,sh - i - t - k - a - l - e - | - kh - u - b - | - Th - a - n - D - a - | - l - a - g - e,✅,
আকাশে অনেক মেঘ জমেছে।,a - k - a - sh - e - | - o - n - e - k - | - m - e - gh - | - j - O - m - e - chh - e,a - k - a - sh - e - | - o - n - e - k - | - m - e - gh - | - j - O - m - e - chh - e,a - k - a - sh - e - | - o - n - e - k - | - m - e - gh - | - j - O - m - e - chh - e,✅,
আজ রোদ উঠেছে।,a - j - | - r - O - d - | - u - Th - e - chh - e,a - j - | - r - O - d - | - u - Th - e - chh - e,a - j - | - r - O - d - | - u - Th - e - chh - e,✅,
বাইরে খুব বাতাস বইছে।,b - a - i - r - e - | - kh - u - b - | - b - a - t - a - sh - | - b - O - i - chh - e,b - a - i - r - e - | - kh - u - b - | - b - a - t - a - sh - | - b - O - i - chh - e,b - a - i - r - e - | - kh - u - b - | - b - a - t - a - sh - | - b - O - i - chh - e,✅,
কাল ঝড় হতে পারে।,k - a - l - | - jh - o - r - | - h - O - t - e - | - p - a - r - e,k - a - l - | - jh - o - r - | - h - O - t - e - | - p - a - r - e,k - a - l - | - jh - o - r - | - h - O - t - e - | - p - a - r - e,✅,
গ্রীষ্মকালে খুব গরম পড়ে।,gr - i - sh - sh - k - a - l - e - | - kh - u - b - | - g - o - r - O - m - | - p - O - r - e,gr - i - sh - sh - o - k - a - l - e - | - kh - u - b - | - g - o - r - O - m - | - p - o - r - e,gr - i - sh - sh - o - k - a - l - e - | - kh - u - b - | - g - o - r - O - m - | - p - o - r - e,❌,
বর্ষাকালে অনেক বৃষ্টি হয়।,b - o - r - sh - a - k - a - l - e - | - o - n - e - k - | - b - ri - shT - i - | - h - o - y,b - o - r - sh - a - k - a - l - e - | - o - n - e - k - | - b - ri - shT - i - | - h - o - y,b - o - r - sh - a - k - a - l - e - | - o - n - e - k - | - b - ri - shT - i - | - h - o - y,✅,
তার বাবা একজন ডাক্তার।,t - a - r - | - b - a - b - a - | - e - k - j - O - n - | - D - a - kt - a - r,t - a - r - | - b - a - b - a - | - E - k - j - o - n - | - D - a - kt - a - r,t - a - r - | - b - a - b - a - | - E - k - j - o - n - | - D - a - kt - a - r,❌,
আমার মা রান্না করছেন।,a - m - a - r - | - m - a - | - r - a - nn - a - | - k - o - r - chh - e - n,a - m - a - r - | - m - a - | - r - a - nn - a - | - k - o - r - chh - e - n,a - m - a - r - | - m - a - | - r - a - nn - a - | - k - o - r - chh - e - n,✅,
আমাদের পরিবারে পাঁচজন সদস্য।,a - m - a - d - e - r - | - p - O - r - i - b - a - r - e - | - p - a~ - ch - j - O - n - | - sh - o - d - o - sh - sh - O,a - m - a - d - e - r - | - p - O - r - i - b - a - r - e - | - p - a~ - ch - j - o - n - | - sh - o - d - O - sh - sh - O,a - m - a - d - e - r - | - p - O - r - i - b - a - r - e - | - p - a~ - ch - j - o - n - | - sh - o - d - O - sh - sh - O,❌,
আমার দাদা অনেক গল্প জানেন।,a - m - a - r - | - d - a - d - a - | - o - n - e - k - | - g - o - l - p - O - | - j - a - n - e - n,a - m - a - r - | - d - a - d - a - | - o - n - e - k - | - g - o - l - p - O - | - j - a - n - e - n,a - m - a - r - | - d - a - d - a - | - o - n - e - k - | - g - o - l - p - O - | - j - a - n - e - n,✅,
আমার ছোট বোন স্কুলে যায়।,a - m - a - r - | - chh - O - T - | - b - O - n - | - s - k - u - l - e - | - j - a - y,a - m - a - r - | - chh - O - T - O - | - b - O - n - | - s - k - u - l - e - | - j - a - y,a - m - a - r - | - chh - O - T - O - | - b - O - n - | - s - k - u - l - e - | - j - a - y,❌,
আমার বড় ভাই বিদেশে থাকে।,a - m - a - r - | - b - o - r - | - bh - a - i - | - b - i - d - e - sh - e - | - th - a - k - e,a - m - a - r - | - b - o - r - O - | - bh - a - i - | - b - i - d - e - sh - e - | - th - a - k - e,a - m - a - r - | - b - o - r - O - | - bh - a - i - | - b - i - d - e - sh - e - | - th - a - k - e,❌,
আমরা সবাই একসাথে থাকি।,a - m - r - a - | - sh - o - b - a - i - | - e - k - sh - a - th - e - | - th - a - k - i,a - m - r - a - | - sh - o - b - a - i - | - E - k - sh - a - th - e - | - th - a - k - i,a - m - r - a - | - sh - o - b - a - i - | - E - k - sh - a - th - e - | - th - a - k - i,❌,
আমার নানি খুব ভালো রান্না করেন।,a - m - a - r - | - n - a - n - i - | - kh - u - b - | - bh - a - l - O - | - r - a - nn - a - | - k - O - r - e - n,a - m - a - r - | - n - a - n - i - | - kh - u - b - | - bh - a - l - O - | - r - a - nn - a - | - k - o - r - e - n,a - m - a - r - | - n - a - n - i - | - kh - u - b - | - bh - a - l - O - | - r - a - nn - a - | - k - o - r - e - n,❌,
আমার চাচা ব্যবসা করেন।,a - m - a - r - | - ch - a - ch - a - | - b - A - b - sh - a - | - k - O - r - e - n,a - m - a - r - | - ch - a - ch - a - | - b - A - b - sh - a - | - k - o - r - e - n,a - m - a - r - | - ch - a - ch - a - | - b - A - b - sh - a - | - k - o - r - e - n,❌,
পরিবারের সবাই আজ বাসায় আছে।,p - O - r - i - b - a - r - e - r - | - sh - o - b - a - i - | - a - j - | - b - a - sh - a - y - | - a - chh - e,p - O - r - i - b - a - r - e - r - | - sh - o - b - a - i - | - a - j - | - b - a - sh - a - y - | - a - chh - e,p - O - r - i - b - a - r - e - r - | - sh - o - b - a - i - | - a - j - | - b - a - sh - a - y - | - a - chh - e,✅,
আমাদের স্কুলে অনেক ছাত্র আছে।,a - m - a - d - e - r - | - s - k - u - l - e - | - o - n - e - k - | - chh - a - tr - O - | - a - chh - e,a - m - a - d - e - r - | - s - k - u - l - e - | - o - n - e - k - | - chh - a - tr - O - | - a - chh - e,a - m - a - d - e - r - | - s - k - u - l - e - | - o - n - e - k - | - chh - a - tr - O - | - a - chh - e,✅,
আমি বাংলা ভাষা শিখছি।,a - m - i - | - b - a - ng - l - a - | - bh - a - sh - a - | - sh - i - kh - chh - i,a - m - i - | - b - a - ng - l - a - | - bh - a - sh - a - | - sh - i - kh - chh - i,a - m - i - | - b - a - ng - l - a - | - bh - a - sh - a - | - sh - i - kh - chh - i,✅,
শিক্ষক আজ নতুন পাঠ পড়ালেন।,sh - i - kkh - o - k - | - a - j - | - n - O - t - u - n - | - p - a - Th - | - p - o - r - a - l - e - n,sh - i - kkh - o - k - | - a - j - | - n - O - t - u - n - | - p - a - Th - | - p - o - r - a - l - e - n,sh - i - kkh - o - k - | - a - j - | - n - O - t - u - n - | - p - a - Th - | - p - o - r - a - l - e - n,✅,
আমার পরীক্ষা আগামীকাল।,a - m - a - r - | - p - O - r - i - kkh - a - | - a - g - a - m - i - k - a - l,a - m - a - r - | - p - O - r - i - kkh - a - | - a - g - a - m - i - k - a - l,a - m - a - r - | - p - O - r - i - kkh - a - | - a - g - a - m - i - k - a - l,✅,
আমি প্রতিদিন হোমওয়ার্ক করি।,a - m - i - | - pr - o - t - i - d - i - n - | - h - O - m - O - y - a - r - k - O - | - k - O - r - i,a - m - i - | - pr - o - t - i - d - i - n - | - h - O - m - y - a - r - k - | - k - O - r - i,a - m - i - | - pr - o - t - i - d - i - n - | - h - O - m - y - a - r - k - | - k - O - r - i,❌,
আমার স্কুলব্যাগ ভারী।,a - m - a - r - | - s - k - u - l - b - b - a - g - | - bh - a - r - i,a - m - a - r - | - s - k - u - l - b - A - g - | - bh - a - r - i,a - m - a - r - | - s - k - u - l - b - A - g - | - bh - a - r - i,❌,
ছাত্ররা মাঠে খেলছে।,chh - a - tr - r - a - | - m - a - Th - e - | - kh - E - l - chh - e,chh - a - tr - r - a - | - m - a - Th - e - | - kh - E - l - chh - e,chh - a - tr - r - a - | - m - a - Th - e - | - kh - E - l - chh - e,✅,
আমাদের ক্লাস সকাল আটটায় শুরু হয়।,a - m - a - d - e - r - | - kl - a - sh - | - sh - o - k - a - l - | - a - T - T - a - y - | - sh - u - r - u - | - h - o - y,a - m - a - d - e - r - | - kl - a - s - | - sh - o - k - a - l - | - a - T - T - a - y - | - sh - u - r - u - | - h - o - y,a - m - a - d - e - r - | - kl - a - s - | - sh - o - k - a - l - | - a - T - T - a - y - | - sh - u - r - u - | - h - o - y,❌,
আমি অংক ভালো পারি না।,a - m - i - | - o - ng - k - | - bh - a - l - O - | - p - a - r - i - | - n - a,a - m - i - | - o - ng - k - O - | - bh - a - l - O - | - p - a - r - i - | - n - a,a - m - i - | - o - ng - k - O - | - bh - a - l - O - | - p - a - r - i - | - n - a,❌,
শিক্ষক আমাদের গল্প বলেন।,sh - i - kkh - o - k - | - a - m - a - d - e - r - | - g - o - l - p - O - | - b - O - l - e - n,sh - i - kkh - o - k - | - a - m - a - d - e - r - | - g - o - l - p - O - | - b - o - l - e - n,sh - i - kkh - o - k - | - a - m - a - d - e - r - | - g - o - l - p - O - | - b - o - l - e - n,❌,
আমার খুব খিদে পেয়েছে।,a - m - a - r - | - kh - u - b - | - kh - i - d - e - | - p - e - y - e - chh - e,a - m - a - r - | - kh - u - b - | - kh - i - d - e - | - p - e - y - e - chh - e,a - m - a - r - | - kh - u - b - | - kh - i - d - e - | - p - e - y - e - chh - e,✅,
আমি ভাত আর মাছ খাই।,a - m - i - | - bh - a - t - | - a - r - | - m - a - chh - | - kh - a - i,a - m - i - | - bh - a - t - | - a - r - | - m - a - chh - | - kh - a - i,a - m - i - | - bh - a - t - | - a - r - | - m - a - chh - | - kh - a - i,✅,
মা আজ ইলিশ মাছ রান্না করেছেন।,m - a - | - a - j - | - i - l - i - sh - | - m - a - chh - | - r - a - nn - a - | - k - O - r - e - chh - e - n,m - a - | - a - j - | - i - l - i - sh - | - m - a - chh - | - r - a - nn - a - | - k - O - r - e - chh - e - n,m - a - | - a - j - | - i - l - i - sh - | - m - a - chh - | - r - a - nn - a - | - k - O - r - e - chh - e - n,✅,
আমি মিষ্টি খেতে ভালোবাসি।,a - m - i - | - m - i - shT - i - | - kh - e - t - e - | - bh - a - l - O - b - a - sh - i,a - m - i - | - m - i - shT - i - | - kh - e - t - e - | - bh - a - l - O - b - a - sh - i,a - m - i - | - m - i - shT - i - | - kh - e - t - e - | - bh - a - l - O - b - a - sh - i,✅,
আমার এই তরকারি পছন্দ না।,a - m - a - r - | - e - i - | - t - o - r - k - a - r - i - | - p - o - chh - o - nd - O - | - n - a,a - m - a - r - | - e - i - | - t - o - r - k - a - r - i - | - p - o - chh - O - nd - O - | - n - a,a - m - a - r - | - e - i - | - t - o - r - k - a - r - i - | - p - o - chh - O - nd - O - | - n - a,❌,
আমরা প্রতিদিন তিনবার খাই।,a - m - r - a - | - pr - o - t - i - d - i - n - | - t - i - n - b - a - r - | - kh - a - i,a - m - r - a - | - pr - o - t - i - d - i - n - | - t - i - n - b - a - r - | - kh - a - i,a - m - r - a - | - pr - o - t - i - d - i - n - | - t - i - n - b - a - r - | - kh - a - i,✅,
আজকে বাসায় বিরিয়ানি রান্না হয়েছে।,a - j - k - e - | - b - a - sh - a - y - | - b - i - r - i - y - a - n - i - | - r - a - nn - a - | - h - O - y - e - chh - e,a - j - k - e - | - b - a - sh - a - y - | - b - i - r - i - y - a - n - i - | - r - a - nn - a - | - h - O - y - e - chh - e,a - j - k - e - | - b - a - sh - a - y - | - b - i - r - i - y - a - n - i - | - r - a - nn - a - | - h - O - y - e - chh - e,✅,
আমি ঝাল খাবার পছন্দ করি।,a - m - i - | - jh - a - l - | - kh - a - b - a - r - | - p - o - chh - o - nd - O - | - k - O - r - i,a - m - i - | - jh - a - l - | - kh - a - b - a - r - | - p - o - chh - O - nd - O - | - k - O - r - i,a - m - i - | - jh - a - l - | - kh - a - b - a - r - | - p - o - chh - O - nd - O - | - k - O - r - i,❌,
তুমি কি চা খাবে?,t - u - m - i - | - k - i - | - ch - a - | - kh - a - b - e,t - u - m - i - | - k - i - | - ch - a - | - kh - a - b - e,t - u - m - i - | - k - i - | - ch - a - | - kh - a - b - e,✅,
রাতে হালকা খাবার খাওয়া ভালো।,r - a - t - e - | - h - a - l - k - a - | - kh - a - b - a - r - | - kh - a - O - y - a - | - bh - a - l - O,r - a - t - e - | - h - a - l - k - a - | - kh - a - b - a - r - | - kh - a - O - y - a - | - bh - a - l - O,r - a - t - e - | - h - a - l - k - a - | - kh - a - b - a - r - | - kh - a - O - y - a - | - bh - a - l - O,✅,
তার শরীর ভালো নেই।,t - a - r - | - sh - O - r - i - r - | - bh - a - l - O - | - n - e - i,t - a - r - | - sh - O - r - i - r - | - bh - a - l - O - | - n - e - i,t - a - r - | - sh - O - r - i - r - | - bh - a - l - O - | - n - e - i,✅,
আমার মাথা ব্যথা করছে।,a - m - a - r - | - m - a - th - a - | - b - A - th - a - | - k - o - r - chh - e,a - m - a - r - | - m - a - th - a - | - b - A - th - a - | - k - O - r - chh - e,a - m - a - r - | - m - a - th - a - | - b - A - th - a - | - k - O - r - chh - e,❌,
তুমি ডাক্তার দেখিয়েছ?,t - u - m - i - | - D - a - kt - a - r - | - d - e - kh - i - y - e - chh,t - u - m - i - | - D - a - kt - a - r - | - d - e - kh - i - y - e - chh - O,t - u - m - i - | - D - a - kt - a - r - | - d - e - kh - i - y - e - chh - O,❌,
আমার জ্বর হয়েছে।,a - m - a - r - | - j - o - r - | - h - O - y - e - chh - e,a - m - a - r - | - j - o - r - | - h - O - y - e - chh - e,a - m - a - r - | - j - o - r - | - h - O - y - e - chh - e,✅,
নিয়মিত ব্যায়াম করা ভালো।,n - i - y - m - i - t - | - b - A - y - a - m - | - k - o - r - a - | - bh - a - l - O,n - i - y - O - m - i - t - O - | - b - A - y - a - m - | - k - o - r - a - | - bh - a - l - O,n - i - y - O - m - i - t - O - | - b - A - y - a - m - | - k - o - r - a - | - bh - a - l - O,❌,
সে হাসপাতালে ভর্তি হয়েছে।,sh - e - | - h - a - sh - p - a - t - a - l - e - | - bh - O - r - t - i - | - h - O - y - e - chh - e,sh - e - | - h - a - sh - p - a - t - a - l - e - | - bh - O - r - t - i - | - h - O - y - e - chh - e,sh - e - | - h - a - sh - p - a - t - a - l - e - | - bh - O - r - t - i - | - h - O - y - e - chh - e,✅,
ওষুধ সময়মতো খাওয়া দরকার।,O - sh - u - dh - | - sh - o - m - y - m - t - O - | - kh - a - O - y - a - | - d - o - r - k - a - r,O - sh - u - dh - | - sh - o - m - o - y - m - O - t - O - | - kh - a - O - y - a - | - d - o - r - k - a - r,O - sh - u - dh - | - sh - o - m - o - y - m - O - t - O - | - kh - a - O - y - a - | - d - o - r - k - a - r,❌,
আমার পেট ব্যথা করছে।,a - m - a - r - | - p - e - T - | - b - A - th - a - | - k - o - r - chh - e,a - m - a - r - | - p - e - T - | - b - A - th - a - | - k - O - r - chh - e,a - m - a - r - | - p - e - T - | - b - A - th - a - | - k - O - r - chh - e,❌,
তুমি পর্যাপ্ত ঘুমাও।,t - u - m - i - | - p - o - r - a - p - t - O - | - gh - u - m - a - O,t - u - m - i - | - p - o - r - j - a - p - t - O - | - gh - u - m - a - O,t - u - m - i - | - p - o - r - j - a - p - t - O - | - gh - u - m - a - O,❌,
সুস্থ থাকতে হলে ভালো খাবার খেতে হবে।,sh - u - sth - O - | - th - a - k - t - e - | - h - O - l - e - | - bh - a - l - O - | - kh - a - b - a - r - | - kh - e - t - e - | - h - O - b - e,sh - u - sth - O - | - th - a - k - t - e - | - h - O - l - e - | - bh - a - l - O - | - kh - a - b - a - r - | - kh - e - t - e - | - h - o - b - e,sh - u - sth - O - | - th - a - k - t - e - | - h - O - l - e - | - bh - a - l - O - | - kh - a - b - a - r - | - kh - e - t - e - | - h - o - b - e,❌,
আমরা আগামীকাল বাজারে যাব।,a - m - r - a - | - a - g - a - m - i - k - a - l - | - b - a - j - a - r - e - | - j - a - b,a - m - r - a - | - a - g - a - m - i - k - a - l - | - b - a - j - a - r - e - | - j - a - b - O,a - m - r - a - | - a - g - a - m - i - k - a - l - | - b - a - j - a - r - e - | - j - a - b - O,❌,
আমি একটা নতুন গাড়ি কিনেছি।,a - m - i - | - e - k - T - a - | - n - O - t - u - n - | - g - a - r - i - | - k - i - n - e - chh - i,a - m - i - | - E - k - T - a - | - n - O - t - u - n - | - g - a - r - i - | - k - i - n - e - chh - i,a - m - i - | - E - k - T - a - | - n - O - t - u - n - | - g - a - r - i - | - k - i - n - e - chh - i,❌,
সে গতকাল ঢাকা গিয়েছিল।,sh - e - | - g - o - t - k - a - l - | - Dh - a - k - a - | - g - i - y - e - chh - i - l,sh - e - | - g - o - t - O - k - a - l - | - Dh - a - k - a - | - g - i - y - e - chh - i - l - O,sh - e - | - g - o - t - O - k - a - l - | - Dh - a - k - a - | - g - i - y - e - chh - i - l - O,❌,
আমরা বাসে করে স্কুলে যাই।,a - m - r - a - | - b - a - sh - e - | - k - O - r - e - | - s - k - u - l - e - | - j - a - i,a - m - r - a - | - b - a - s - e - | - k - O - r - e - | - s - k - u - l - e - | - j - a - i,a - m - r - a - | - b - a - s - e - | - k - O - r - e - | - s - k - u - l - e - | - j - a - i,❌,
টিকেটের দাম কত?,T - i - k - e - T - e - r - | - d - a - m - | - k - o - t,T - i - k - e - T - e - r - | - d - a - m - | - k - o - t - O,T - i - k - e - T - e - r - | - d - a - m - | - k - o - t - O,❌,
আমি নতুন জামা কিনতে চাই।,a - m - i - | - n - O - t - u - n - | - j - a - m - a - | - k - i - n - t - e - | - ch - a - i,a - m - i - | - n - O - t - u - n - | - j - a - m - a - | - k - i - n - t - e - | - ch - a - i,a - m - i - | - n - O - t - u - n - | - j - a - m - a - | - k - i - n - t - e - | - ch - a - i,✅,
আমরা ট্রেনে করে চট্টগ্রাম যাব।,a - m - r - a - | - T - r - e - n - e - | - k - O - r - e - | - ch - o - T - T - gr - a - m - | - j - a - b,a - m - r - a - | - T - r - E - n - e - | - k - O - r - e - | - ch - o - T - T - O - g - r - a - m - | - j - a - b - O,a - m - r - a - | - T - r - E - n - e - | - k - O - r - e - | - ch - o - T - T - O - g - r - a - m - | - j - a - b - O,❌,
বাজারে আজ অনেক ভিড়।,b - a - j - a - r - e - | - a - j - | - o - n - e - k - | - bh - i - r,b - a - j - a - r - e - | - a - j - | - o - n - e - k - | - bh - i - r,b - a - j - a - r - e - | - a - j - | - o - n - e - k - | - bh - i - r,✅,
আমি দোকান থেকে কিছু কিনব।,a - m - i - | - d - O - k - a - n - | - th - e - k - e - | - k - i - chh - u - | - k - i - n - o - b,a - m - i - | - d - O - k - a - n - | - th - E - k - e - | - k - i - chh - u - | - k - i - n - b - O,a - m - i - | - d - O - k - a - n - | - th - E - k - e - | - k - i - chh - u - | - k - i - n - b - O,❌,
বিমানবন্দর এখান থেকে অনেক দূরে।,b - i - m - a - n - b - o - nd - o - r - | - e - kh - a - n - | - th - e - k - e - | - o - n - e - k - | - d - u - r - e,b - i - m - a - n - b - o - n - d - O - r - | - e - kh - a - n - | - th - e - k - e - | - o - n - e - k - | - d - u - r - e,b - i - m - a - n - b - o - n - d - O - r - | - e - kh - a - n - | - th - e - k - e - | - o - n - e - k - | - d - u - r - e,❌,
আমি তোমাকে ভালোবাসি।,a - m - i - | - t - O - m - a - k - e - | - bh - a - l - O - b - a - sh - i,a - m - i - | - t - O - m - a - k - e - | - bh - a - l - O - b - a - sh - i,a - m - i - | - t - O - m - a - k - e - | - bh - a - l - O - b - a - sh - i,✅,
সে অনেক বুদ্ধিমান।,sh - e - | - o - n - e - k - | - b - u - d - dh - i - m - a - n,sh - e - | - o - n - e - k - | - b - u - d - dh - i - m - a - n,sh - e - | - o - n - e - k - | - b - u - d - dh - i - m - a - n,✅,
আমি আজ খুব খুশি।,a - m - i - | - a - j - | - kh - u - b - | - kh - u - sh - i,a - m - i - | - a - j - | - kh - u - b - | - kh - u - sh - i,a - m - i - | - a - j - | - kh - u - b - | - kh - u - sh - i,✅,
তার কথা শুনে আমি অবাক হয়েছি।,t - a - r - | - k - o - th - a - | - sh - u - n - e - | - a - m - i - | - o - b - a - k - | - h - O - y - e - chh - i,t - a - r - | - k - o - th - a - | - sh - u - n - e - | - a - m - i - | - o - b - a - k - | - h - O - y - E - chh - i,t - a - r - | - k - o - th - a - | - sh - u - n - e - | - a - m - i - | - o - b - a - k - | - h - O - y - E - chh - i,❌,
আমি ভয় পাচ্ছি।,a - m - i - | - bh - o - y - | - p - a - ch - chh - i,a - m - i - | - bh - o - y - | - p - a - ch - chh - i,a - m - i - | - bh - o - y - | - p - a - ch - chh - i,✅,
তুমি রাগ করো না।,t - u - m - i - | - r - a - g - | - k - o - r - O - | - n - a,t - u - m - i - | - r - a - g - | - k - O - r - O - | - n - a,t - u - m - i - | - r - a - g - | - k - O - r - O - | - n - a,❌,
আমি জানতাম তুমি আসবে।,a - m - i - | - j - a - n - t - a - m - | - t - u - m - i - | - a - sh - b - e,a - m - i - | - j - a - n - t - a - m - | - t - u - m - i - | - a - sh - b - e,a - m - i - | - j - a - n - t - a - m - | - t - u - m - i - | - a - sh - b - e,✅,
"যদি বৃষ্টি হয়, আমরা বাসায় থাকব।",j - O - d - i - | - b - ri - shT - i - | - h - o - y - | - a - m - r - a - | - b - a - sh - a - y - | - th - a - k - o - b,j - O - d - i - | - b - ri - shT - i - | - h - o - y - | - a - m - r - a - | - b - a - sh - a - y - | - th - a - k - b - O,j - O - d - i - | - b - ri - shT - i - | - h - o - y - | - a - m - r - a - | - b - a - sh - a - y - | - th - a - k - b - O,❌,
আমি মনে করি এটা ঠিক।,a - m - i - | - m - O - n - e - | - k - O - r - i - | - e - T - a - | - Th - i - k,a - m - i - | - m - O - n - e - | - k - O - r - i - | - e - T - a - | - Th - i - k,a - m - i - | - m - O - n - e - | - k - O - r - i - | - e - T - a - | - Th - i - k,✅,
তুমি চেষ্টা করলে অবশ্যই পারবে।,t - u - m - i - | - ch - E - shT - a - | - k - o - r - l - e - | - o - b - o - sh - sh - o - i - | - p - a - r - b - e,t - u - m - i - | - ch - e - shT - a - | - k - O - r - l - e - | - o - b - O - sh - sh - O - i - | - p - a - r - b - e,t - u - m - i - | - ch - e - shT - a - | - k - O - r - l - e - | - o - b - O - sh - sh - O - i - | - p - a - r - b - e,❌,
সে বলল যে সে আসবে না।,sh - e - | - b - o - l - O - l - | - j - e - | - sh - e - | - a - sh - b - e - | - n - a,sh - e - | - b - o - l - l - O - | - j - e - | - sh - e - | - a - sh - b - e - | - n - a,sh - e - | - b - o - l - l - O - | - j - e - | - sh - e - | - a - sh - b - e - | - n - a,❌,
"আমি যখন ছোট ছিলাম, তখন এখানে থাকতাম।",a - m - i - | - j - o - kh - O - n - | - chh - O - T - | - chh - i - l - a - m - | - t - o - kh - O - n - | - e - kh - a - n - e - | - th - a - k - t - a - m,a - m - i - | - j - o - kh - O - n - | - chh - O - T - O - | - chh - i - l - a - m - | - t - o - kh - O - n - | - e - kh - a - n - e - | - th - a - k - t - a - m,a - m - i - | - j - o - kh - O - n - | - chh - O - T - O - | - chh - i - l - a - m - | - t - o - kh - O - n - | - e - kh - a - n - e - | - th - a - k - t - a - m,❌,
"তুমি যদি আমাকে সাহায্য কর, আমি খুশি হব।",t - u - m - i - | - j - O - d - i - | - a - m - a - k - e - | - sh - a - h - a - j - j - O - | - k - o - r - | - a - m - i - | - kh - u - sh - i - | - h - o - b,t - u - m - i - | - j - O - d - i - | - a - m - a - k - e - | - sh - a - h - a - j - j - o - | - k - o - r - O - | - a - m - i - | - kh - u - sh - i - | - h - o - b - O,t - u - m - i - | - j - O - d - i - | - a - m - a - k - e - | - sh - a - h - a - j - j - o - | - k - o - r - O - | - a - m - i - | - kh - u - sh - i - | - h - o - b - O,❌,
আমার মনে হয় আজ বৃষ্টি হবে।,a - m - a - r - | - m - O - n - e - | - h - o - y - | - a - j - | - b - ri - shT - i - | - h - O - b - e,a - m - a - r - | - m - O - n - e - | - h - o - y - | - a - j - | - b - ri - shT - i - | - h - o - b - e,a - m - a - r - | - m - O - n - e - | - h - o - y - | - a - j - | - b - ri - shT - i - | - h - o - b - e,❌,
দয়া করে দরজা বন্ধ করো।,d - o - y - a - | - k - O - r - e - | - d - o - r - j - a - | - b - o - ndh - O - | - k - o - r - O,d - o - y - a - | - k - O - r - e - | - d - o - r - j - a - | - b - o - ndh - O - | - k - o - r - O,d - o - y - a - | - k - O - r - e - | - d - o - r - j - a - | - b - o - ndh - O - | - k - o - r - O,✅,
এখানে বসো।,e - kh - a - n - e - | - b - o - sh - O,e - kh - a - n - e - | - b - o - sh - O,e - kh - a - n - e - | - b - o - sh - O,✅,
জোরে কথা বলো না।,j - O - r - e - | - k - o - th - a - | - b - o - l - O - | - n - a,j - O - r - e - | - k - o - th - a - | - b - O - l - O - | - n - a,j - O - r - e - | - k - o - th - a - | - b - O - l - O - | - n - a,❌,
